web_scraper_order,web_scraper_start_url,container_url,type chaussures,prix,adresse,image_lien
"1766818913-1","https://sn.coinafrique.com/categorie/chaussures-enfants?page=3","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-3219227","Chaussures enfants","Prix sur demande","Colobane, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_3219227_uploaded_image1_1625842539.jpg)
background-image:url(https://images.coinafrique.com/thumb_3219227_uploaded_image2_1625842540.jpeg)
background-image:url(https://images.coinafrique.com/thumb_3219227_uploaded_image3_1625842540.jpeg)"
"1766818924-2","https://sn.coinafrique.com/categorie/chaussures-enfants?page=3","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-3219232","Chaussures enfant","Prix sur demande","Colobane, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_3219232_uploaded_image1_1625842643.jpg)"
"1766818937-3","https://sn.coinafrique.com/categorie/chaussures-enfants?page=3","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-3219248","Chaussures enfant","Prix sur demande","Colobane, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_3219248_uploaded_image1_1625842846.jpg)"
"1766818946-4","https://sn.coinafrique.com/categorie/chaussures-enfants?page=3","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-3222222","Chaussures enfants","Prix sur demande","Colobane, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_3222222_uploaded_image1_1626008303.jpg)"
"1766818955-5","https://sn.coinafrique.com/categorie/chaussures-enfants?page=3","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-3224546","Chaussures  enfant","15 000 CFA","Dakar Plateau, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_3224546_uploaded_image1_1626108022.jpg)
background-image:url(https://images.coinafrique.com/thumb_3224546_uploaded_image2_1626108023.jpeg)
background-image:url(https://images.coinafrique.com/thumb_3224546_uploaded_image3_1626108023.jpeg)"
"1766818965-6","https://sn.coinafrique.com/categorie/chaussures-enfants?page=3","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-3227293","Chaussures Enfants","10 000 CFA","Biscuiterie, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_3227293_uploaded_image1_1626223659.jpg)
background-image:url(https://images.coinafrique.com/thumb_3227293_uploaded_image2_1626223659.jpeg)"
"1766818979-7","https://sn.coinafrique.com/categorie/chaussures-enfants?page=3","https://sn.coinafrique.com/annonce/chaussures-enfants/babouches-enfant-3231496","Babouches enfant","7 000 CFA","Hann Bel-Air, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_3231496_uploaded_image1_1626390253.jpg)
background-image:url(https://images.coinafrique.com/thumb_3231496_uploaded_image2_1626390253.jpeg)
background-image:url(https://images.coinafrique.com/thumb_3231496_uploaded_image3_1626390253.jpeg)"
"1766819002-8","https://sn.coinafrique.com/categorie/chaussures-enfants?page=3","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-3247099","Chaussures enfant","15 000 CFA","Grand Yoff, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_3247099_uploaded_image1_1627387079.jpg)
background-image:url(https://images.coinafrique.com/thumb_3247099_uploaded_image2_1627387079.jpeg)
background-image:url(https://images.coinafrique.com/thumb_3247099_uploaded_image3_1627387079.jpeg)"
"1766819021-9","https://sn.coinafrique.com/categorie/chaussures-enfants?page=3","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-fille-3252340","Chaussures  fille","12 500 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_3252340_uploaded_image1_1627653888.jpg)"
"1766819035-10","https://sn.coinafrique.com/categorie/chaussures-enfants?page=3","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-3267690","Chaussures enfant","3 000 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_3267690_uploaded_image1_1628334320.jpg)
background-image:url(https://images.coinafrique.com/thumb_3267690_uploaded_image2_1628334320.jpeg)
background-image:url(https://images.coinafrique.com/thumb_3267690_uploaded_image3_1628334320.jpeg)"
"1766819049-11","https://sn.coinafrique.com/categorie/chaussures-enfants?page=3","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-3288165","Chaussures enfant","13 500 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_3288165_uploaded_image1_1629374192.jpg)
background-image:url(https://images.coinafrique.com/thumb_3288165_uploaded_image2_1629374193.jpeg)
background-image:url(https://images.coinafrique.com/thumb_3288165_uploaded_image3_1629374193.jpeg)"
"1766819065-12","https://sn.coinafrique.com/categorie/chaussures-enfants?page=3","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-3288168","Chaussures enfants","13 500 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_3288168_uploaded_image1_1629374275.jpg)
background-image:url(https://images.coinafrique.com/thumb_3288168_uploaded_image2_1629374275.jpeg)
background-image:url(https://images.coinafrique.com/thumb_3288168_uploaded_image3_1629374275.jpeg)"
"1766819081-13","https://sn.coinafrique.com/categorie/chaussures-enfants?page=3","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-3288174","Chaussures enfants","13 500 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_3288174_uploaded_image1_1629374418.jpg)
background-image:url(https://images.coinafrique.com/thumb_3288174_uploaded_image2_1629374418.jpeg)
background-image:url(https://images.coinafrique.com/thumb_3288174_uploaded_image3_1629374418.jpeg)"
"1766819093-14","https://sn.coinafrique.com/categorie/chaussures-enfants?page=3","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-3305453","Chaussures enfants","2 500 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_3305453_uploaded_image2_1630348767.jpeg)"
"1766819111-15","https://sn.coinafrique.com/categorie/chaussures-enfants?page=3","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-3312395","Chaussures enfant","13 500 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_3312395_uploaded_image1_1630601772.jpg)
background-image:url(https://images.coinafrique.com/thumb_3312395_uploaded_image2_1630601772.jpeg)
background-image:url(https://images.coinafrique.com/thumb_3312395_uploaded_image3_1630601772.jpeg)"
"1766819128-16","https://sn.coinafrique.com/categorie/chaussures-enfants?page=3","https://sn.coinafrique.com/annonce/chaussures-enfants/baskets-enfants-3316031","Baskets enfants","7 000 CFA","Colobane, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_3316031_uploaded_image1_1630757466.jpg)
background-image:url(https://images.coinafrique.com/thumb_3316031_uploaded_image2_1630757467.jpeg)"
"1766819145-17","https://sn.coinafrique.com/categorie/chaussures-enfants?page=3","https://sn.coinafrique.com/annonce/chaussures-enfants/mocassins-enfant-3319920","Mocassins enfant","15 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_3319920_uploaded_image1_1630947708.jpg)
background-image:url(https://images.coinafrique.com/thumb_3319920_uploaded_image2_1630947708.jpeg)
background-image:url(https://images.coinafrique.com/thumb_3319920_uploaded_image3_1630947708.jpeg)
background-image:url(https://images.coinafrique.com/thumb_3319920_uploaded_image4_1630947708.jpeg)
background-image:url(https://images.coinafrique.com/thumb_3319920_uploaded_image5_1630947708.jpeg)
background-image:url(https://images.coinafrique.com/thumb_3319920_uploaded_image6_1630947708.jpeg)"
"1766819153-18","https://sn.coinafrique.com/categorie/chaussures-enfants?page=3","https://sn.coinafrique.com/annonce/chaussures-enfants/baskets-enfants-3327812","Baskets enfants","7 000 CFA","Colobane, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_3327812_uploaded_image1_1631278298.jpg)
background-image:url(https://images.coinafrique.com/thumb_3327812_uploaded_image2_1631278298.jpeg)
background-image:url(https://images.coinafrique.com/thumb_3327812_uploaded_image3_1631278298.jpeg)
background-image:url(https://images.coinafrique.com/thumb_3327812_uploaded_image1_1631278298.jpg)
background-image:url(https://images.coinafrique.com/thumb_3327812_uploaded_image2_1631278298.jpeg)
background-image:url(https://images.coinafrique.com/thumb_3327812_uploaded_image3_1631278298.jpeg)"
"1766819160-19","https://sn.coinafrique.com/categorie/chaussures-enfants?page=3","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-3331774","Chaussures enfants","Prix sur demande","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_3331774_uploaded_image2_1631522808.jpeg)
background-image:url(https://images.coinafrique.com/thumb_3331774_uploaded_image3_1631522808.jpeg)"
"1766819168-20","https://sn.coinafrique.com/categorie/chaussures-enfants?page=3","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-3336753","Chaussures enfant","5 000 CFA","Hann Bel-Air, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_3336753_uploaded_image1_1631736848.jpg)"
