web_scraper_order,web_scraper_start_url,container_id,type chaussures,prix,adresse,image_lien
"1766793147-1","https://sn.coinafrique.com/categorie/chaussures-homme?page=3","https://sn.coinafrique.com/annonce/chaussures-homme/baskets-new-balance-740-5548919","Baskets New Balance 740","22 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5548919_uploaded_image1_1759168129.jpg)
background-image:url(https://images.coinafrique.com/thumb_5548919_uploaded_image2_1759168129.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5548919_uploaded_image3_1759168129.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5548919_uploaded_image4_1759168129.jpeg)"
"1766793166-2","https://sn.coinafrique.com/categorie/chaussures-homme?page=3","https://sn.coinafrique.com/annonce/chaussures-homme/baskets-jordan-3-original-5548923","Baskets Jordan 3 original","20 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5548923_uploaded_image1_1759168249.jpg)
background-image:url(https://images.coinafrique.com/thumb_5548923_uploaded_image2_1759168249.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5548923_uploaded_image3_1759168249.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5548923_uploaded_image4_1759168249.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5548923_uploaded_image5_1759168249.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5548923_uploaded_image6_1759168249.jpeg)"
"1766793206-3","https://sn.coinafrique.com/categorie/chaussures-homme?page=3","https://sn.coinafrique.com/annonce/chaussures-homme/baskets-jordan-4-5548928","Baskets Jordan 4","25 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5548928_uploaded_image1_1759168475.jpg)
background-image:url(https://images.coinafrique.com/thumb_5548928_uploaded_image2_1759168475.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5548928_uploaded_image3_1759168475.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5548928_uploaded_image4_1759168475.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5548928_uploaded_image5_1759168475.jpeg)"
"1766793223-4","https://sn.coinafrique.com/categorie/chaussures-homme?page=3","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-new-balance-740-5548951","Chaussures New Balance 740","22 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5548951_uploaded_image1_1759169363.jpg)
background-image:url(https://images.coinafrique.com/thumb_5548951_uploaded_image2_1759169363.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5548951_uploaded_image3_1759169363.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5548951_uploaded_image4_1759169363.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5548951_uploaded_image5_1759169363.jpeg)"
"1766793231-5","https://sn.coinafrique.com/categorie/chaussures-homme?page=3","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-nike-shox-5548942","Chaussures Nike shox","27 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5548942_uploaded_image1_1759169016.jpg)
background-image:url(https://images.coinafrique.com/thumb_5548942_uploaded_image2_1759169016.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5548942_uploaded_image3_1759169016.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5548942_uploaded_image4_1759169016.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5548942_uploaded_image5_1759169016.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5548942_uploaded_image6_1759169016.jpeg)"
"1766793239-6","https://sn.coinafrique.com/categorie/chaussures-homme?page=3","https://sn.coinafrique.com/annonce/chaussures-homme/sandales-dior-alpha-5548962","Sandales Dior Alpha","17 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5548962_uploaded_image1_1759169765.jpg)
background-image:url(https://images.coinafrique.com/thumb_5548962_uploaded_image2_1759169765.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5548962_uploaded_image3_1759169765.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5548962_uploaded_image4_1759169765.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5548962_uploaded_image5_1759169765.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5548962_uploaded_image6_1759169765.jpeg)"
"1766793247-7","https://sn.coinafrique.com/categorie/chaussures-homme?page=3","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-new-balance-530-5548965","Chaussures New Balance 530","20 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5548965_uploaded_image1_1759169877.jpg)
background-image:url(https://images.coinafrique.com/thumb_5548965_uploaded_image2_1759169877.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5548965_uploaded_image3_1759169877.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5548965_uploaded_image4_1759169877.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5548965_uploaded_image5_1759169877.jpeg)"
"1766793255-8","https://sn.coinafrique.com/categorie/chaussures-homme?page=3","https://sn.coinafrique.com/annonce/chaussures-homme/baskets-asic-kayono-5548956","Baskets Asic kayono","25 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5548956_uploaded_image1_1759169555.jpg)
background-image:url(https://images.coinafrique.com/thumb_5548956_uploaded_image2_1759169556.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5548956_uploaded_image3_1759169556.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5548956_uploaded_image4_1759169556.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5548956_uploaded_image5_1759169556.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5548956_uploaded_image6_1759169556.jpeg)"
"1766793269-9","https://sn.coinafrique.com/categorie/chaussures-homme?page=3","https://sn.coinafrique.com/annonce/chaussures-homme/baskets-air-force-5548972","Baskets Air force","18 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5548972_uploaded_image1_1759170249.jpg)
background-image:url(https://images.coinafrique.com/thumb_5548972_uploaded_image2_1759170249.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5548972_uploaded_image3_1759170249.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5548972_uploaded_image4_1759170249.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5548972_uploaded_image5_1759170249.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5548972_uploaded_image6_1759170249.jpeg)"
"1766793286-10","https://sn.coinafrique.com/categorie/chaussures-homme?page=3","https://sn.coinafrique.com/annonce/chaussures-homme/chaussures-air-f1-5548969","Chaussures Air f1","20 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5548969_uploaded_image1_1759170133.jpg)
background-image:url(https://images.coinafrique.com/thumb_5548969_uploaded_image2_1759170134.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5548969_uploaded_image3_1759170134.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5548969_uploaded_image4_1759170134.jpeg)"
