web_scraper_order,web_scraper_start_url,container_url,type habits,prix,adresse,image_lien
"1766796806-1","https://sn.coinafrique.com/categorie/vetements-enfants?page=3","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-2-pieces-pour-fille-4402284","Ensemble 2 pièces pour fille","14 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4402284_uploaded_image1_1696423054.jpg)"
"1766796820-2","https://sn.coinafrique.com/categorie/vetements-enfants?page=3","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-enfant-4402991","Ensemble enfant","13 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4402991_uploaded_image1_1696452237.jpg)"
"1766796829-3","https://sn.coinafrique.com/categorie/vetements-enfants?page=3","https://sn.coinafrique.com/annonce/vetements-enfants/polo-lacoste-enfant-4405119","Polo Lacoste enfant","1 500 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4405119_uploaded_image1_1696581900.jpg)
background-image:url(https://images.coinafrique.com/thumb_4405119_uploaded_image3_1696581901.jpeg)"
"1766796842-4","https://sn.coinafrique.com/categorie/vetements-enfants?page=3","https://sn.coinafrique.com/annonce/vetements-enfants/pantalon-pour-enfants-4405127","Pantalon pour enfants","2 500 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4405127_uploaded_image1_1696582094.jpg)
background-image:url(https://images.coinafrique.com/thumb_4405127_uploaded_image2_1696582094.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4405127_uploaded_image3_1696582094.jpeg)"
"1766796851-5","https://sn.coinafrique.com/categorie/vetements-enfants?page=3","https://sn.coinafrique.com/annonce/vetements-enfants/bambinerie-enfant-4416818","Bambinerie enfant","Prix sur demande","Mermoz-Sacré Coeur, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4416818_uploaded_image3_1697296868.jpeg)"
"1766796859-6","https://sn.coinafrique.com/categorie/vetements-enfants?page=3","https://sn.coinafrique.com/annonce/vetements-enfants/robe-de-priere-enfant-4421455","Robe de prière enfant","2 500 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4421455_uploaded_image1_1697627353.jpg)
background-image:url(https://images.coinafrique.com/thumb_4421455_uploaded_image2_1697627354.jpeg)"
"1766796878-7","https://sn.coinafrique.com/categorie/vetements-enfants?page=3","https://sn.coinafrique.com/annonce/vetements-enfants/robe-enfant-4430601","Robe enfant","15 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4430601_uploaded_image1_1698283193.jpg)
background-image:url(https://images.coinafrique.com/thumb_4430601_uploaded_image2_1698283194.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4430601_uploaded_image3_1698283194.jpeg)"
"1766796887-8","https://sn.coinafrique.com/categorie/vetements-enfants?page=3","https://sn.coinafrique.com/annonce/vetements-enfants/jeans-pour-enfants-4397937","Jeans  pour enfants","6 000 CFA","Colobane, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4397937_uploaded_image1_1696183097.jpg)
background-image:url(https://images.coinafrique.com/thumb_4397937_uploaded_image2_1696183097.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4397937_uploaded_image3_1696183097.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4397937_uploaded_image4_1696183097.jpeg)"
"1766796896-9","https://sn.coinafrique.com/categorie/vetements-enfants?page=3","https://sn.coinafrique.com/annonce/vetements-enfants/vetement-enfant-4394813","Vêtement enfant","4 500 CFA","Dakar Plateau, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4394813_uploaded_image1_1695942485.jpg)
background-image:url(https://images.coinafrique.com/thumb_4394813_uploaded_image2_1695942485.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4394813_uploaded_image3_1695942485.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4394813_uploaded_image4_1695942485.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4394813_uploaded_image5_1695942485.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4394813_uploaded_image6_1695942485.jpeg)"
"1766796904-10","https://sn.coinafrique.com/categorie/vetements-enfants?page=3","https://sn.coinafrique.com/annonce/vetements-enfants/polos-lacoste-enfants-4394815","Polos  Lacoste enfants","4 500 CFA","Dakar Plateau, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4394815_uploaded_image1_1695942580.jpg)
background-image:url(https://images.coinafrique.com/thumb_4394815_uploaded_image2_1695942581.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4394815_uploaded_image3_1695942581.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4394815_uploaded_image4_1695942581.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4394815_uploaded_image5_1695942581.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4394815_uploaded_image6_1695942581.jpeg)"
"1766796914-11","https://sn.coinafrique.com/categorie/vetements-enfants?page=3","https://sn.coinafrique.com/annonce/vetements-enfants/slips-enfants-4467057","Slips enfants","7 000 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4467057_uploaded_image1_1700591564.jpg)"
"1766796924-12","https://sn.coinafrique.com/categorie/vetements-enfants?page=3","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-veste-pour-enfant-4479762","Ensemble veste pour enfant","23 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4479762_uploaded_image1_1701402947.jpg)
background-image:url(https://images.coinafrique.com/thumb_4479762_uploaded_image2_1701402948.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4479762_uploaded_image3_1701402948.jpeg)"
"1766796934-13","https://sn.coinafrique.com/categorie/vetements-enfants?page=3","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-enfant-4455065","Ensemble enfant","Prix sur demande","Dakar Plateau, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_4455065_uploaded_image1_1699814184.jpg)
background-image:url(https://images.coinafrique.com/thumb_4455065_uploaded_image2_1699814185.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4455065_uploaded_image3_1699814185.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4455065_uploaded_image4_1699814185.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4455065_uploaded_image5_1699814185.jpeg)
background-image:url(https://images.coinafrique.com/thumb_4455065_uploaded_image6_1699814185.jpeg)"
