web_scraper_order,web_scraper_start_url,container_urls,type habits,prix,adresse,image_lien
"1766787083-1","https://sn.coinafrique.com/categorie/vetements-homme?page=3","https://sn.coinafrique.com/annonce/vetements-homme/costume-africaine-5392632","Costume africaine","20 000 CFA","Fass, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5392632_uploaded_image1_1750903985.jpg)
background-image:url(https://images.coinafrique.com/thumb_5392632_uploaded_image2_1750903985.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5392632_uploaded_image3_1750903985.jpeg)"
"1766787096-2","https://sn.coinafrique.com/categorie/vetements-homme?page=3","https://sn.coinafrique.com/annonce/vetements-homme/costume-africaine-5392633","Costume africaine","20 000 CFA","Fass, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5392633_uploaded_image1_1750904042.jpg)
background-image:url(https://images.coinafrique.com/thumb_5392633_uploaded_image2_1750904042.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5392633_uploaded_image3_1750904042.jpeg)"
"1766787106-3","https://sn.coinafrique.com/categorie/vetements-homme?page=3","https://sn.coinafrique.com/annonce/vetements-homme/vetement-homme-5394599","Vêtement homme","Prix sur demande","Fass, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5394599_uploaded_image2_1751021076.jpeg)"
"1766787114-4","https://sn.coinafrique.com/categorie/vetements-homme?page=3","https://sn.coinafrique.com/annonce/vetements-homme/bas-nike-tech-5396366","Bas Nike Tech","10 000 CFA","Mariste, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5396366_uploaded_image1_1751130805.jpg)"
"1766787139-5","https://sn.coinafrique.com/categorie/vetements-homme?page=3","https://sn.coinafrique.com/annonce/vetements-homme/bas-large-5359319","Bas large","7 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5359319_uploaded_image1_1748991293.jpg)
background-image:url(https://images.coinafrique.com/thumb_5359319_uploaded_image2_1748991293.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5359319_uploaded_image3_1748991293.jpeg)"
"1766787146-6","https://sn.coinafrique.com/categorie/vetements-homme?page=3","https://sn.coinafrique.com/annonce/vetements-homme/lacoste-homme-5376209","Lacoste homme","6 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5376209_uploaded_image1_1750033001.jpg)
background-image:url(https://images.coinafrique.com/thumb_5376209_uploaded_image2_1750033001.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5376209_uploaded_image3_1750033001.jpeg)"
"1766787155-7","https://sn.coinafrique.com/categorie/vetements-homme?page=3","https://sn.coinafrique.com/annonce/vetements-homme/t-shirt-coton-5376211","T-shirt coton","6 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5376211_uploaded_image1_1750033082.jpg)
background-image:url(https://images.coinafrique.com/thumb_5376211_uploaded_image2_1750033083.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5376211_uploaded_image3_1750033083.jpeg)"
"1766787164-8","https://sn.coinafrique.com/categorie/vetements-homme?page=3","https://sn.coinafrique.com/annonce/vetements-homme/t-shirt-unique-5381842","T-shirt unique","3 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5381842_uploaded_image1_1750327249.jpg)
background-image:url(https://images.coinafrique.com/thumb_5381842_uploaded_image2_1750327250.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5381842_uploaded_image3_1750327250.jpeg)"
"1766787172-9","https://sn.coinafrique.com/categorie/vetements-homme?page=3","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-short-5359855","Ensemble short","9 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5359855_uploaded_image1_1749031695.jpg)
background-image:url(https://images.coinafrique.com/thumb_5359855_uploaded_image2_1749031695.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5359855_uploaded_image3_1749031695.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5359855_uploaded_image4_1749031695.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5359855_uploaded_image5_1749031695.jpeg)"
"1766787181-10","https://sn.coinafrique.com/categorie/vetements-homme?page=3","https://sn.coinafrique.com/annonce/vetements-homme/jeans-homme-5360049","Jeans homme","7 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_5360049_uploaded_image1_1749038004.jpg)
background-image:url(https://images.coinafrique.com/thumb_5360049_uploaded_image2_1749038004.jpeg)
background-image:url(https://images.coinafrique.com/thumb_5360049_uploaded_image3_1749038004.jpeg)"
